"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn10285170","DET0021701_avg_seg.nii.gz","1","application/gzip","1196","3324839","1502374986961","3324839","1502374986961","syn10285076","https://www.synapse.org/#!Synapse:syn10285170.1","32d3c00e2aec2a3a13c475bcb17028bd"
"syn10285130","DET0028301_avg_seg.nii.gz","1","application/gzip","1208","3324839","1502374947689","3324839","1502374947689","syn10285076","https://www.synapse.org/#!Synapse:syn10285130.1","dabe222ea99934f4ed72d11da5ced31d"
"syn10285144","DET0024401_avg_seg.nii.gz","1","application/gzip","1295","3324839","1502374960267","3324839","1502374960267","syn10285076","https://www.synapse.org/#!Synapse:syn10285144.1","44ef4f54de06b22b87b6dd4514fbe740"
"syn10285138","DET0000801_avg_seg.nii.gz","1","application/gzip","1330","3324839","1502374955574","3324839","1502374955574","syn10285076","https://www.synapse.org/#!Synapse:syn10285138.1","6f82f67d33c3cda003ac8f6e1c3bb029"
"syn10285168","DET0042601_avg_seg.nii.gz","1","application/gzip","1521","3324839","1502374984666","3324839","1502374984666","syn10285076","https://www.synapse.org/#!Synapse:syn10285168.1","0c21c31279dcc8c492071c4d826a3b3e"
"syn10285125","DET0029001_avg_seg.nii.gz","1","application/gzip","1570","3324839","1502374942932","3324839","1502374942932","syn10285076","https://www.synapse.org/#!Synapse:syn10285125.1","02b724a4166f51ee39f7709b5f5dc9a5"
"syn10285201","DET0042401_avg_seg.nii.gz","1","application/gzip","1575","3324839","1502375022393","3324839","1502375022393","syn10285076","https://www.synapse.org/#!Synapse:syn10285201.1","1bb851ae5145fd823e42fd09352a6d41"
"syn10285094","DET0028601_avg_seg.nii.gz","1","application/gzip","1579","3324839","1502374909321","3324839","1502374909321","syn10285076","https://www.synapse.org/#!Synapse:syn10285094.1","1a9a140a2b1ce50cbfba5f6e8baf6274"
"syn10285157","DET0009001_avg_seg.nii.gz","1","application/gzip","1719","3324839","1502374972186","3324839","1502374972186","syn10285076","https://www.synapse.org/#!Synapse:syn10285157.1","d48156187d5f3c7ce7778435986ad1fd"
"syn10285189","DET0043201_avg_seg.nii.gz","1","application/gzip","1732","3324839","1502375008714","3324839","1502375008714","syn10285076","https://www.synapse.org/#!Synapse:syn10285189.1","e0fa43f76bb38cbebce7c6ce882b30e7"
"syn10285227","DET0042001_avg_seg.nii.gz","1","application/gzip","1771","3324839","1502375070429","3324839","1502375070429","syn10285076","https://www.synapse.org/#!Synapse:syn10285227.1","0517c4ce6fd06a2006b050bec4d2779a"
